n,1 feature(s),2 feature(s),3 feature(s)
2,0.2482275390625,0.132281494140625,0.13730712890625
4,0.20359584263392858,0.09901994977678572,0.10514439174107143
8,0.18382568359375,0.07058837890625,0.0850927734375
16,0.17111118861607144,0.05350516183035714,0.06288364955357142
32,0.1639501953125,0.0473828125,0.0526318359375
64,0.1606005859375,0.040849609375,0.0443701171875
128,0.1598095703125,0.0382666015625,0.039755859375
256,0.15962890625,0.0368994140625,0.0375830078125
512,0.1591845703125,0.036044921875,0.0363525390625
1024,0.1590087890625,0.035556640625,0.03603515625
2048,0.15890625,0.035322265625,0.0354443359375
4096,0.15884765625,0.035234375,0.03537109375
8192,0.1587890625,0.035224609375,0.0351708984375
