n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.11785714285714285,0.013392857142857142,0.007142857142857143
8,0.140625,0.02125,0.013125
16,0.14241071428571428,0.019642857142857142,0.016517857142857143
32,0.1496875,0.0253125,0.025625
64,0.1621875,0.03,0.02828125
128,0.16375,0.03265625,0.0315625
256,0.1600390625,0.0312109375,0.031015625
512,0.1593359375,0.0330859375,0.0328125
1024,0.1581640625,0.03421875,0.033916015625
2048,0.158408203125,0.0346826171875,0.0345556640625
4096,0.158388671875,0.03451171875,0.0343896484375
8192,0.15860595703125,0.034410400390625,0.034337158203125
