n,1 feature(s),2 feature(s),3 feature(s)
2,0.18828569338477075,0.12182920540211384,0.12489705695205418
4,0.18598235884353836,0.09767524251661136,0.10341690642525538
8,0.1809541921881932,0.06995685816784807,0.08400478901101845
16,0.1713418352974589,0.053030874905135444,0.06206806933659202
32,0.16426243778531252,0.046396033459512494,0.051667509641950174
64,0.1609602744088775,0.040086236806111224,0.04355050667316886
128,0.15998913914074478,0.03715533017235103,0.03892428787284909
256,0.1594061500646016,0.035638136204723045,0.036449864005797306
512,0.1590193684771752,0.034694126955623274,0.03515953541378931
1024,0.15887530901208602,0.03436473956672053,0.03463303159444956
2048,0.15877682187509054,0.03415786513879125,0.03424338484966456
4096,0.15871469254390094,0.03404704462248354,0.03410103066837787
8192,0.15868076519725713,0.03399919037777038,0.03403873599686309
