n,1 feature(s),2 feature(s),3 feature(s)
2,0.2525748249475413,0.17207716140071902,0.4727125760995731
4,0.20563421630859374,0.14548091678828984,0.2886951896714868
8,0.18036940313607552,0.12039560402555419,0.1739546857561384
16,0.1699659394054878,0.10215078989664714,0.1234849853515625
32,0.16483624039776384,0.09138450301995799,0.10045045286744506
64,0.16158163888113838,0.08538778981854839,0.08962139054840686
128,0.16004147219967532,0.08224051339285714,0.08419649718237705
256,0.15943816298738533,0.08057107676630434,0.08113335503472222
512,0.15884339158681765,0.07962684394409938,0.07974578907532841
1024,0.15857691271551724,0.079015141039823,0.07912335356404959
2048,0.15821608821902655,0.07874666539634147,0.07846634891055046
