n,1 feature(s),2 feature(s),3 feature(s)
2,0.18873065272334583,0.14961597175956023,0.29932723282844764
4,0.18545004789052735,0.13931926988120763,0.23614567482717458
8,0.17780947626948324,0.11961035043555324,0.16805174200086703
16,0.16997694756117027,0.1018229187078666,0.12280977044708956
32,0.1647180123040736,0.0915285032009757,0.1003177433468659
64,0.16159259168811138,0.0853413040783012,0.0895332971691901
128,0.16015309905326375,0.08230571695728817,0.08414154694499862
256,0.15938943072063108,0.08050528234249497,0.08116674441781581
512,0.15902019499002285,0.07962279696976074,0.0797801359065223
1024,0.15880858692589542,0.07914406312225979,0.0790493775981419
2048,0.15873536993988693,0.07887610326533584,0.07864701060085351
