n,1 feature(s),2 feature(s),3 feature(s)
2,0.25207674984486295,0.09695664989232254,0.20743104635608284
4,0.20533735994807262,0.029743743139850207,0.09064465147076231
8,0.18034999302455357,0.01061273931146978,0.03132357754550137
16,0.1697073685495477,0.0048227326766304346,0.010687109375
32,0.16467147482965225,0.0025810844855235784,0.004478462430948098
64,0.1617869334177928,0.001644749317354369,0.002429668719951923
128,0.16016246574434229,0.0013263408954326923,0.0015946837429278641
256,0.15955211292613636,0.001054969200721154,0.0010908108313106796
512,0.1593327409847434,0.0008910145721024258,0.0009410511363636364
1024,0.15915967597336064,0.0008526141826923077,0.0008191747572815534
