n,1 feature(s),2 feature(s),3 feature(s)
2,4.424778761061947e-05,0.0,0.0
4,0.117765625,0.011203125,0.00303125
8,0.13954241071428572,0.018325892857142857,0.007566964285714285
16,0.1494921875,0.0234375,0.0136640625
32,0.15371651785714285,0.026880580357142858,0.019073660714285713
64,0.1562578125,0.03009765625,0.0230625
128,0.15683035714285715,0.03162109375,0.025304129464285716
256,0.157521484375,0.032458984375,0.02682421875
512,0.15814453125,0.032982700892857146,0.027586495535714285
1024,0.158658203125,0.0334873046875,0.0285546875
