n,1 feature(s),2 feature(s),3 feature(s)
2,0.18862590276505467,0.12208848626174973,0.18613893321482794
4,0.18512095950957436,0.09319401737843332,0.13617110705356789
8,0.17739995772117859,0.06984899113528978,0.09286956009012894
16,0.16937601471472116,0.05335890283769955,0.06333271326719117
32,0.16431357978942407,0.044550127286222575,0.046909522760368895
64,0.16172920733472465,0.03970958339287683,0.038389135187930606
128,0.1602296129084972,0.03694643785265739,0.03397185586605766
256,0.1593771148995822,0.035557092590702964,0.031651388907345264
512,0.15899691037407374,0.03477599183488883,0.030525073313068977
1024,0.15884333328688222,0.034383981154630795,0.029846956758958692
