n,1 feature(s),2 feature(s),3 feature(s)
2,0.2525565519652862,0.19746363676768475,0.24796711224249238
4,0.20640097045898437,0.1715388459979363,0.19798097661472258
8,0.1800322675229703,0.1480148396164021,0.16044060758842055
16,0.16980507210509418,0.13098950655955188,0.13059042225713316
32,0.16489460829224414,0.1205163706107443,0.11197976988923518
64,0.1617372785295759,0.1145218738017638,0.10170834189967105
128,0.16048124239042208,0.11116319707173124,0.09655277312748016
256,0.15946214893196203,0.10941391564849624,0.09350085136217949
512,0.15892413843457945,0.10839733028628118,0.09205586434759547
1024,0.1589350634282178,0.10823939732142857,0.09141189953512396
