n,1 feature(s),2 feature(s),3 feature(s)
2,0.18820200039625531,0.16500421722269001,0.20313377973232122
4,0.18523646968073632,0.16141517274421452,0.1832024925462379
8,0.17734785748711793,0.1466380461435981,0.1579539119134045
16,0.16967397944337304,0.13085207363884127,0.13015223338608659
32,0.16452158975927933,0.12007022411959103,0.11182469660243939
64,0.16157671802021956,0.11424066874742762,0.10148455622925086
128,0.16023547768650723,0.11111501799074935,0.09646545844791722
256,0.15943460565907758,0.10932815361838341,0.09341920505794019
512,0.1590541400328559,0.10828630598525617,0.09196613012346522
1024,0.15884057838446564,0.10787565710745944,0.09128882648800506
