n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.11959375,0.0763125,0.0278125
8,0.14081473214285714,0.10396205357142857,0.05671875
16,0.1488515625,0.1220859375,0.082453125
32,0.15260602678571428,0.13154017857142858,0.09885044642857142
64,0.15607421875,0.13818359375,0.1096640625
128,0.1569810267857143,0.14150111607142857,0.11611049107142857
256,0.157970703125,0.144212890625,0.118716796875
512,0.15794363839285713,0.14484933035714287,0.12023018973214286
1024,0.1584462890625,0.1456474609375,0.1212919921875
