n,1 feature(s),2 feature(s),3 feature(s)
2,0.2516336536688791,0.17224177679229877,0.1665305017574222
4,0.20700861444536423,0.14670724487304687,0.02786947811351103
8,0.18140644929846939,0.12115259008569555,0.0010887463529949382
16,0.1697888901654412,0.10204302174176356,0.0
32,0.16444981166294642,0.09130650602835765,0.0
64,0.16161166653774753,0.0853607177734375,0.0
128,0.16016567627895753,0.08203337296195652,0.0
256,0.15932901623179613,0.08029951077063106,0.0
512,0.15905215135261194,0.07917848798397864,0.0
1024,0.15879720052083332,0.07890348614386793,0.0
