n,1 feature(s),2 feature(s),3 feature(s)
2,0.18773842818486897,0.15028757261034595,0.15043289051270864
4,0.18502808592312442,0.13951925308641783,0.05201113456454811
8,0.17801672937314747,0.1199890031655937,0.013620265261675018
16,0.16972212018460175,0.10218976371392767,0.004527802662415984
32,0.16450555295711217,0.0917437463036805,0.0019298358870260739
64,0.16171073493045834,0.08566183883360222,0.0011415356936778063
128,0.1602449699108826,0.08235626486612897,0.0007032965807998138
256,0.15939407465681055,0.080513790573908,0.000490450644397109
512,0.1590189788488252,0.07958321166493874,0.00038919113674384465
1024,0.15883017011650724,0.07911313876962436,0.0003235533362462614
