n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.1195625,0.029484375,0.00275
8,0.14120535714285715,0.04796875,0.007466517857142857
16,0.149140625,0.0602578125,0.0139140625
32,0.15401785714285715,0.06754464285714286,0.01984375
64,0.1557734375,0.07305078125,0.02421875
128,0.15707310267857144,0.07579520089285714,0.026947544642857143
256,0.1579609375,0.077029296875,0.02867578125
512,0.1581068638392857,0.07768415178571429,0.029457310267857143
1024,0.1583173828125,0.0781767578125,0.030404296875
