n,1 feature(s),2 feature(s),3 feature(s)
2,0.25186389049229374,0.17064435840707964,0.25272214303948265
4,0.20564761352539063,0.14394647934857538,0.19560699462890624
8,0.18039594377790177,0.11973047256469727,0.15178571428571427
16,0.16982644786005435,0.10216893187356652,0.11880998421978477
32,0.1646833849547579,0.09158201808878032,0.10043574038738479
64,0.1616361023949795,0.08538133190524194,0.08936200209066901
128,0.1602009780534351,0.08218047472895408,0.08399406312003968
256,0.15960507150423728,0.08042116326800848,0.0809968556072695
512,0.15916251717032967,0.07957620753893663,0.07958272594752186
1024,0.15892608406007752,0.07910807291666666,0.07884353497706421
