n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.118953125,0.02971875,0.01196875
8,0.13904017857142856,0.04599330357142857,0.02796875
16,0.1483828125,0.0578125,0.0461796875
32,0.15303013392857143,0.06685825892857143,0.05835379464285714
64,0.15546875,0.07235546875,0.0678671875
128,0.1571958705357143,0.07542410714285715,0.07225167410714285
256,0.1572890625,0.07648828125,0.074939453125
512,0.158125,0.07769810267857143,0.07645089285714286
1024,0.1586259765625,0.0783037109375,0.077439453125
