n,1 feature(s),2 feature(s),3 feature(s)
2,0.18850824012243278,0.1500658673406854,0.21495371742725558
4,0.1851596734249897,0.13914683000444614,0.1690896617324512
8,0.1779825330230951,0.12018986633702392,0.10758974606136576
16,0.16966922324082356,0.1020109682420588,0.06400763187643618
32,0.1642952467788273,0.09142436249724366,0.044570528433643744
64,0.16157552448843657,0.08565898720134751,0.03506942782688597
128,0.16021400000429392,0.08240126614565398,0.030990635530844954
256,0.15940009142219486,0.08040407753583076,0.02871592560755776
512,0.15898903146277513,0.07958078487604743,0.02762876745670765
1024,0.15881847634981275,0.07910836495722648,0.027035002075891913
