n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.120140625,0.025125,0.0
8,0.1412388392857143,0.04032366071428571,2.232142857142857e-05
16,0.1491484375,0.050578125,4.6875e-05
32,0.15357700892857143,0.057896205357142856,6.696428571428572e-05
64,0.15581640625,0.06242578125,7.8125e-05
128,0.1576255580357143,0.06473214285714286,9.486607142857143e-05
256,0.15829296875,0.066490234375,0.000140625
512,0.1584486607142857,0.06724330357142858,0.00015066964285714285
1024,0.1585224609375,0.067421875,0.0001572265625
