n,1 feature(s),2 feature(s),3 feature(s)
2,0.18782098165077477,0.14419257936429378,0.06275245671953239
4,0.18499257660382887,0.13015381438251908,0.021159853026032825
8,0.17775236772157302,0.10935670396116805,0.007562380126354073
16,0.16964435955633209,0.09121424614552152,0.0033837592505849934
32,0.16444003064281004,0.08062501859061957,0.001755719538361176
64,0.1616229143965864,0.0749561462376361,0.0010815588014302423
128,0.1602224303723736,0.0715700576185177,0.0006923992934993275
256,0.1593983422317349,0.06985380259774897,0.0005005850679936944
512,0.1590110370732028,0.06891657419761996,0.00040996419921573014
1024,0.15882701215135772,0.06848162680406578,0.0003331878433619972
