n,1 feature(s),2 feature(s),3 feature(s)
2,0.2524828237347898,0.16145615029124033,0.09681738342493554
4,0.20565512084960938,0.13513601684570312,0.06901604437058972
8,0.18008785280631454,0.1090678065276343,0.05161226338038707
16,0.1697410093534977,0.09119272867838542,0.03852647915007962
32,0.1645863207080696,0.08053694100215517,0.029392987067202836
64,0.16154213295326578,0.0746641355140187,0.02394624255952381
128,0.1601963917200135,0.07147361288265307,0.020646064591377092
256,0.1592618427579365,0.06975356593276515,0.01892113546723301
512,0.15899943702591657,0.06899482115635888,0.017975932637906648
1024,0.15856295748873875,0.06841766593992248,0.017447159641472868
