n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.118640625,0.02396875,0.004359375
8,0.14146205357142858,0.03958705357142857,0.011138392857142857
16,0.1498203125,0.049984375,0.017640625
32,0.15296316964285714,0.05722098214285714,0.023102678571428573
64,0.15644140625,0.06250390625,0.02885546875
128,0.15837332589285713,0.06523716517857144,0.0319140625
256,0.157955078125,0.0662265625,0.03413671875
512,0.15818498883928572,0.06688895089285714,0.03500558035714286
1024,0.15824609375,0.0675712890625,0.035638671875
