n,1 feature(s),2 feature(s),3 feature(s)
2,0.25376173411381514,0.16433883261891594,0.14173348485896017
4,0.20680776977539062,0.13536512131658976,0.12106722318209134
8,0.18109835111177885,0.11011113660978444,0.10354087702197357
16,0.16974039144449302,0.09176141146955819,0.08567783785182119
32,0.16454424176897323,0.08121147793999356,0.07262239668659895
64,0.16160111860795454,0.07516224254261364,0.06468505859375
128,0.16026579727948226,0.07162759309452948,0.06007430005321665
256,0.159425,0.06970457120706107,0.057240988991477275
512,0.15892558195153061,0.06880315771243842,0.05593348911830357
1024,0.15866147933467742,0.06845611857476636,0.05529854910714286
