n,1 feature(s),2 feature(s),3 feature(s)
2,0.18853813747842096,0.14419952530637,0.14196982065390842
4,0.1851867265286559,0.13016537002862463,0.13360580790359103
8,0.17805803236655443,0.10903358217952672,0.11689350728640964
16,0.16948339378215954,0.09093561928469593,0.09819500758060361
32,0.16430700130307807,0.08063699825771088,0.08524006873636623
64,0.16155627059102778,0.07487300872558356,0.0773610789522654
128,0.1602052262065919,0.07163419038723634,0.07264255324308083
256,0.15941066860910127,0.06976183524000037,0.06982658282899196
512,0.15901315312035497,0.06892501443731396,0.06861358682551377
1024,0.1588230367245917,0.06846941077292297,0.06785132288464181
