n,2 feat,sigma_3 = 1.7,sigma_3 = 2.0,sigma_3 = 2.5,sigma_3 = 3.5,sigma_3 = 7,sigma_3 = 10
2,0.14961597175956023,0.17507089902575845,0.19554385203161487,0.2226721483267475,0.25529600034175437,0.2901855328880628,0.2969831650888324
4,0.13931926988120763,0.15196138493347794,0.16679037178082978,0.18482441298882898,0.20519281052415794,0.22918871715099087,0.2346588750516932
8,0.11961035043555324,0.12666343493426177,0.13629396484958725,0.14669282322800542,0.1558664697617039,0.16597244531377586,0.16760684572977716
16,0.1018229187078666,0.10015969419076413,0.10613054282704679,0.11222081860863156,0.1176417957701882,0.12204373345202121,0.12274786628597416
32,0.0915285032009757,0.08281209994266805,0.08747721227189195,0.09207404979877212,0.09656192784886686,0.09986273338324342,0.10017722089962466
64,0.0853413040783012,0.07337617320973575,0.07753200048328886,0.08185346287303147,0.08561508833980858,0.08897854618415653,0.08936683796606619
128,0.08230571695728817,0.06835647622545866,0.07239225284160197,0.07660994650838124,0.08033651586906404,0.08337930899028638,0.08398732629213712
256,0.08050528234249497,0.06566479547146442,0.06976271174747317,0.0737206209348453,0.07740047938746478,0.08050065304356663,0.081054746194928
512,0.07962279696976074,0.06418879974568015,0.06823917340287779,0.07226879087624874,0.0759851865077147,0.07908166076754275,0.07962229817903997
1024,0.07914406312225979,0.06349416943719546,0.06751624922913378,0.07154198925018276,0.0752913335441722,0.07833756588856618,0.07888872240193112
