n,2 feat,rho_{13} = rho_{23} = -0.7,rho_{13} = rho_{23} = -0.4,rho_{13} = rho_{23} = -0.2,rho_{13} = rho_{23} = 0,rho_{13} = rho_{23} = 0.2,rho_{13} = rho_{23} = 0.4,rho_{13} = rho_{23} = 0.7
2,0.15030447864787994,0.14185424071255487,0.1693657915875044,0.18444208545214685,0.19554385203161487,0.20500226750975234,0.21120287574683116,0.2159072620658495
4,0.1398177382068003,0.02695884324890628,0.10485435813641036,0.1429022243444918,0.16679037178082978,0.18116855650359914,0.18545563709685414,0.13368518247220246
8,0.12026127134322685,0.001094525643902947,0.0658817930172513,0.10722266620763204,0.13629396484958725,0.14967835752973402,0.14804873557489423,0.04488829515629629
16,0.10188566610490395,8.005068091545202e-08,0.04379984301847237,0.08017541384835902,0.10613054282704679,0.11874331868622014,0.11396573126622897,0.005040113191752523
32,0.09184173574780327,9.147118843444765e-11,0.031208852566203926,0.0642265284091415,0.08747721227189195,0.10046530827162196,0.09465671559248953,0.0002218743283731024
64,0.08556256944625773,4.1111228832654313e-16,0.024685191731781197,0.05490726098102743,0.07753200048328886,0.08934709751347943,0.08325164081652017,2.7946380321557615e-06
128,0.08230934724368309,1.1777471972685536e-19,0.021222900491828667,0.050168741164141356,0.07239225284160197,0.0840680605952161,0.07802506153799868,3.099263734451105e-07
256,0.08053645953851221,0.0,0.019223390768875425,0.04749421714359807,0.06976271174747317,0.08101976011860895,0.07496708680055142,1.2300799344622688e-08
512,0.0795523235177314,0.0,0.01830535497625013,0.04629057670923105,0.06823917340287779,0.07949199209256586,0.07350475929058427,2.1868804497127106e-09
1024,0.07912311935175306,0.0,0.017697765978501628,0.04552799859267009,0.06751624922913378,0.07884001394214886,0.0728581065164774,7.110094183382706e-10
