n,1 feat,rho_{12} = -0.8,rho_{12} = -0.4,rho_{12} = 0,rho_{12} = 0.4,rho_{12} = 0.6
2,0.18797587951029146,0.27180242042140224,0.2791207654045628,0.28183802350795684,0.28322798201432237,0.2832662790011658
4,0.18537930446602174,0.15992128152973176,0.2319513284242538,0.25612682877035503,0.2596855172462875,0.25257089593477755
8,0.17734499167592738,0.07759537146310043,0.1792619936666627,0.2181979096944614,0.22248298353926685,0.20803033795057568
16,0.16963580295635305,0.044258446302711536,0.14428684597803662,0.18693683737372555,0.19137951753808824,0.17343485491320046
32,0.16426219800183198,0.03219870993552488,0.12609873909519434,0.168297206123742,0.17268412289644197,0.15448508567665548
64,0.16166438669740246,0.02697628014432752,0.11809945260847049,0.1598017418435806,0.16424948121609312,0.14589394493820962
128,0.16015135980639755,0.02460771354337906,0.11400710346340132,0.15537350174535486,0.15949465024315904,0.14145502104580415
256,0.15935523524942652,0.02332028644976314,0.11200713013527079,0.15326550151773086,0.15740034584128762,0.13942901218435913
512,0.1590212211769685,0.02267443380317285,0.11100704593873681,0.1522723015169133,0.15641401179609035,0.13844339300215175
1024,0.15886895017459507,0.0222922791446071,0.11058291255736402,0.1518493065583687,0.1559881817415565,0.13803675033971416
