n,1 feature(s),2 feature(s),3 feature(s)
2,0.2525748249475413,0.17207716140071902,0.45712288097810355
4,0.20563421630859374,0.14548091678828984,0.28023524428858904
8,0.18036940313607552,0.12039560402555419,0.17304279154766528
16,0.1699659394054878,0.10215078989664714,0.12286293486244658
32,0.16483624039776384,0.09138450301995799,0.10039120628720238
64,0.16158163888113838,0.08538778981854839,0.08933362458881579
128,0.16004147219967532,0.08224051339285714,0.0839572164995609
256,0.15943816298738533,0.08057107676630434,0.08082361897145669
512,0.15884339158681765,0.07962684394409938,0.07950801639766483
1024,0.15857691271551724,0.079015141039823,0.07875834344660194
