n,1 feature(s),2 feature(s),3 feature(s)
2,0.2514462091226493,0.12438441732032716,0.21850309194621906
4,0.20547711229699803,0.080794677734375,0.1315414129518995
8,0.18077615792410714,0.05506230478786613,0.07944099672379032
16,0.16963356072954136,0.03977410641708815,0.050173824780607876
32,0.16452469784989315,0.03191282739801769,0.035063872466216214
64,0.16181781475360577,0.027719144208715598,0.027879650758044553
128,0.16021554129464285,0.025440934635745892,0.023760934161324788
256,0.1595907315340909,0.02428911994485294,0.021827931447072072
512,0.1590886603976697,0.02359326748791622,0.02085335544808201
1024,0.1588623046875,0.023193815712616823,0.020371823890186914
