n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.117484375,0.007046875,0.001625
8,0.13902901785714286,0.011863839285714285,0.004564732142857143
16,0.149359375,0.015109375,0.008375
32,0.15341517857142858,0.0174609375,0.011930803571428571
64,0.15626171875,0.01970703125,0.0148828125
128,0.15670200892857142,0.020535714285714286,0.016632254464285713
256,0.157419921875,0.02134765625,0.017705078125
512,0.1577455357142857,0.021775948660714285,0.018271484375
1024,0.158650390625,0.022298828125,0.01901171875
