n,1 feature(s),2 feature(s),3 feature(s)
2,0.188684088432247,0.13707973857742076,0.19102819594488185
4,0.1851880780763816,0.11857262731374854,0.15281025564030276
8,0.17752765423114908,0.09687974179824779,0.11615282736858491
16,0.16947484152984424,0.07888646589144807,0.08624553351062197
32,0.16434535808864886,0.06915675343396512,0.06882912654644795
64,0.16171090096738486,0.06344436527934008,0.059030209935195234
128,0.16018458949659892,0.060352372110740134,0.054150251973495545
256,0.15937764204355315,0.05864089685775585,0.05136432076153218
512,0.15899478938762907,0.057816597139740813,0.050062096625160556
1024,0.15883498999046364,0.05737759329193542,0.04934339929779217
