n,1 feature(s),2 feature(s),3 feature(s)
2,0.18824930872217593,0.15558040724771494,0.19856403568094796
4,0.1853342986800192,0.1477353643102399,0.17382507151431228
8,0.17734155470089702,0.12972389561511363,0.1443034464479689
16,0.16974775684285515,0.11264990323533194,0.11505200515093209
32,0.16463861181546394,0.10135235329558709,0.0963244283296332
64,0.161574786386494,0.09543924112928936,0.08593513058761754
128,0.16024538926392462,0.092320186204108,0.08095393942280128
256,0.15942104171907617,0.09063508622651281,0.07796912500094627
512,0.15904711613043432,0.08961949600654572,0.07653535885269204
1024,0.15883484421830552,0.08921006535322806,0.07587697217729893
