n,1 feature(s),2 feature(s),3 feature(s)
2,4.424778761061947e-05,0.0,0.0
4,0.119765625,0.043546875,0.014609375
8,0.1403794642857143,0.06691964285714286,0.033482142857142856
16,0.14834375,0.0841015625,0.0550546875
32,0.15289620535714285,0.09395089285714285,0.06965959821428572
64,0.15627734375,0.10049609375,0.079375
128,0.15736886160714286,0.10325892857142857,0.08473214285714285
256,0.158095703125,0.105359375,0.08748828125
512,0.15797293526785713,0.10623465401785714,0.08885184151785715
1024,0.158107421875,0.1071396484375,0.0899248046875
