n,1 feature(s),2 feature(s),3 feature(s)
2,0.2533212415306969,0.17288133469303096,0.17612618095445942
4,0.2068475341796875,0.14617195918642242,0.053385162353515626
8,0.18153208464824508,0.12103164602534562,0.013615510901626276
16,0.16987202962239584,0.10225363338694853,0.00450615234375
32,0.1645561649838207,0.09174864632742745,0.001916175853076379
64,0.16171505576685855,0.08565365998641304,0.0011319673978365385
128,0.16031199109950584,0.08220957391273041,0.000689935064935065
256,0.15940018503289474,0.0802820103769084,0.00045462302791262135
512,0.1590807819163113,0.0794630725931677,0.00034200004334257976
1024,0.15858057415674603,0.07901551573426574,0.00029871323529411767
