n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.1193125,0.02921875,0.00034375
8,0.14116071428571428,0.04793526785714286,0.0007366071428571429
16,0.1494140625,0.060140625,0.0016953125
32,0.15358258928571428,0.067890625,0.0025055803571428573
64,0.1559453125,0.07333984375,0.00328515625
128,0.15736607142857142,0.07571707589285714,0.003828125
256,0.157919921875,0.0768046875,0.004279296875
512,0.15827706473214287,0.07783621651785715,0.004560546875
1024,0.1583076171875,0.0780283203125,0.0048828125
