n,1 feature(s),2 feature(s),3 feature(s)
2,0.18780785006047807,0.15039759581178266,0.1693657915875044
4,0.1849046326049052,0.13918595032642342,0.10485435813641036
8,0.17760049829846866,0.12003451954212015,0.0658817930172513
16,0.16951583044509563,0.10274716844496612,0.04379984301847237
32,0.16459955568018908,0.09185783212837527,0.031208852566203926
64,0.1616321433251237,0.08564118975541495,0.024685191731781197
128,0.16026307870682543,0.08236992908428228,0.021222900491828667
256,0.15942078110766325,0.0804647405837025,0.019223390768875425
512,0.1590140996708645,0.07957385472946889,0.01830535497625013
1024,0.15884045985185827,0.0791042176158603,0.017697765978501628
