n,1 feature(s),2 feature(s),3 feature(s)
2,0.18900108898969664,0.15003976525363844,0.2083628461035769
4,0.1853586837213938,0.13883810029168006,0.18485468924582726
8,0.17798378214121066,0.11955598391741862,0.1515361251264286
16,0.1697051202418811,0.10208791205787886,0.11951171768980003
32,0.16439512546170806,0.0917023097823522,0.10049864621389128
64,0.161625246351056,0.08545445610001615,0.08926102580594912
128,0.1602213068455448,0.08228432690232375,0.08399612211086763
256,0.15941950972483912,0.08043126187529245,0.08088850407840759
512,0.15901269040811095,0.07952961441405577,0.07945779385875458
1024,0.15883133170732447,0.07912756253150517,0.0787722305826568
