n,1 feature(s),2 feature(s),3 feature(s)
2,0.18873065272334583,0.14961597175956023,0.1674262908108999
4,0.18545004789052735,0.13931926988120763,0.14598271648857913
8,0.17780947626948324,0.11961035043555324,0.12258298975745137
16,0.16997694756117027,0.1018229187078666,0.09755208985184731
32,0.1647180123040736,0.0915285032009757,0.0807401512673632
64,0.16159259168811138,0.0853413040783012,0.07137423986345372
128,0.16015309905326375,0.08230571695728817,0.06646521107149592
256,0.15938943072063108,0.08050528234249497,0.06391248436815822
512,0.15902019499002285,0.07962279696976074,0.06243096223256887
1024,0.15880858692589542,0.07914406312225979,0.061730941255824845
