n,1 feature(s),2 feature(s),3 feature(s)
2,0.25184287501402786,0.17170805534430308,0.27491655780595015
4,0.20673007202148438,0.14533346241918105,0.18125289916992188
8,0.18067783347062782,0.12055603796694458,0.10839299346503353
16,0.16960458755493163,0.10199559529622396,0.06415089925130209
32,0.16431140899658203,0.09113491647611789,0.04452440023729086
64,0.1612701136037844,0.08539120513613861,0.03508853216240876
128,0.1600525050128632,0.08230179301568759,0.03076272241135663
256,0.15931861139112904,0.08027111235119047,0.02870287848907767
512,0.15883273486024846,0.07931842291371995,0.02749875992063492
1024,0.1585796808792373,0.07878605769230769,0.026978638795045046
