n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.11871875,0.029453125,0.005984375
8,0.13921875,0.046841517857142856,0.012924107142857143
16,0.1495078125,0.05840625,0.017140625
32,0.15353794642857144,0.06603236607142857,0.020379464285714285
64,0.1554609375,0.072265625,0.022578125
128,0.15690848214285713,0.07532924107142858,0.023733258928571428
256,0.15735546875,0.076427734375,0.024427734375
512,0.1581752232142857,0.07765345982142857,0.025209263392857142
1024,0.1584619140625,0.0782705078125,0.0257939453125
