n,1 feature(s),2 feature(s),3 feature(s)
2,0.2535039342175479,0.162974091154887,0.058287388823721566
4,0.20658059042008198,0.1355759514702691,0.00928241436298077
8,0.18148736941461552,0.11001860839226454,0.001040088887117347
16,0.16983048430586284,0.09117294739339954,0.00011083017481435644
32,0.16460282461983816,0.08076065726902174,2.6244253889674683e-05
64,0.1617218017578125,0.07458696507695896,1.08775525990099e-05
128,0.16013311361828148,0.07131875994519095,3.7985104314002828e-06
256,0.159408509497549,0.06971012530940594,9.668935643564357e-07
512,0.15912411077235772,0.06873829543734866,1.3812765205091938e-06
1024,0.15872970281862744,0.06840014411407767,0.0
