n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.12009375,0.024828125,0.00015625
8,0.1407142857142857,0.04026785714285714,0.0003348214285714286
16,0.149515625,0.0510234375,0.0007109375
32,0.15344308035714285,0.05785714285714286,0.0011160714285714285
64,0.15556640625,0.06293359375,0.00142578125
128,0.15735770089285714,0.06506696428571429,0.0017271205357142856
256,0.15798828125,0.066357421875,0.0019609375
512,0.15838588169642856,0.06715680803571429,0.0021498325892857144
1024,0.158529296875,0.0673408203125,0.002279296875
