n,1 feature(s),2 feature(s),3 feature(s)
2,0.1879057359056653,0.14440386058769694,0.07251707646409263
4,0.18487705943976682,0.13016921746507928,0.036382278385227
8,0.1780116253217567,0.10922044400911758,0.020360084940797194
16,0.16955839324763358,0.09134169830528657,0.01276558755983115
32,0.16451237789953732,0.08079247826357827,0.008199166160462085
64,0.16164755994253238,0.07489798600773365,0.005756270676432225
128,0.1602437809977736,0.07167106628461646,0.004524772664250618
256,0.15940696274961239,0.06984801853050399,0.003726730220118846
512,0.15902068854250895,0.06893161260603238,0.0033286986787303577
1024,0.15882831245409343,0.06847245065625744,0.003033633604142824
