n,1 feature(s),2 feature(s),3 feature(s)
2,0.2538640269437421,0.16323162247649337,0.11926796281521654
4,0.20634956359863282,0.13383980545343138,0.09787904365577889
8,0.18118419894924412,0.10928577523621706,0.07985136982455901
16,0.1700143452563317,0.09072733128324469,0.06380030966212606
32,0.16448612675833896,0.08063857360455975,0.052546792048745176
64,0.1615229180518617,0.07475221868146929,0.045093982054455445
128,0.16011334791798357,0.0716161635315534,0.04108489505828373
256,0.15951194763183593,0.06987395109953703,0.03860762746710526
512,0.15916994239101892,0.06888577344359875,0.03774857954545455
1024,0.15884838639018692,0.06854289010067115,0.037056263706140354
