n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.1195,0.024703125,0.0175
8,0.1403236607142857,0.03919642857142857,0.029810267857142858
16,0.1493359375,0.050484375,0.0391484375
32,0.1532421875,0.05709263392857143,0.04311941964285714
64,0.15656640625,0.0621015625,0.045640625
128,0.15770368303571428,0.06487165178571429,0.04618024553571429
256,0.15806640625,0.066095703125,0.046462890625
512,0.15843470982142857,0.06723911830357143,0.04698102678571429
1024,0.1585283203125,0.0676572265625,0.0474287109375
